Altium Designer Pick and Place Locations
C:\Users\jithe\OneDrive\Documents\GitHub\Project_Vega\Team_Vega_Organized_Folder\Project Outputs for PCB_Project_sch_layout\Pick Place for PCB_Vega.txt

========================================================================================================================
File Design Information:

Date:       01-11-24
Time:       15:43
Revision:   225986674db0359f9848256e5120dc3a9126c4ac
Variant:    No variations
Units used: mil

Designator  Comment                     Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                               
TP_SPI_EN   Test_point                  TopLayer    1                                 1645.000      2665.000      90       "SMT Test Point- Mininature-1000 pc Reels"                                                                                                
H8          "#4 Hole"                   TopLayer    HOLE_#4                           2277.000      3096.000      0        ""                                                                                                                                        
H7          "#4 Hole"                   TopLayer    HOLE_#4                           151.000       3318.000      0        ""                                                                                                                                        
BT1         BAT_3034                    BottomLayer BAT_3034                          2698.520      2430.000      180      "SMT Holder for 20mm Cell-Tin Nickel Plate"                                                                                               
U2          BQ25570RGRT_New             TopLayer    QFN50P350X350X100-21N_-_DUPLICATE 1010.000      995.039       90       "Switching Battery Charger Li-Ion/Li-Pol/Supercapacitor 110mA 2.2V to 5.5V 20-Pin VQFN EP T/R"                                            
R36         "0ohm 1%"                   TopLayer    RES_0603                          1747.000      796.000       0        "Thick film general purpose resistor 0603"                                                                                                
R33         "0ohm 1%"                   TopLayer    RES_0603                          1376.000      758.000       180      "Thick film general purpose resistor 0603"                                                                                                
H10         "#4 Hole"                   TopLayer    HOLE_#4                           3524.000      2812.000      0        ""                                                                                                                                        
H9          "0.1" M Header"             BottomLayer 2-PIN_MALE_HEADER_01-IN           1360.000      599.000       0        "CONN HEADER VERT 2POS 2.54MM"                                                                                                            
H6          "#4 Hole"                   TopLayer    HOLE_#4                           1894.000      2104.000      0        ""                                                                                                                                        
H5          "#4 Hole"                   TopLayer    HOLE_#4                           557.000       329.000       0        ""                                                                                                                                        
C32         10uF                        TopLayer    CAPC1608X90                       1399.000      2375.000      90       "0.1 ÂµF Â±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                              
P1          "FPC/FFC -5051101092"       TopLayer    CON_5051101092_MOL                1572.693      2326.000      90       "Easy-On FFC/FPC Connector, 0.50mm Pitch, FD19 Series, Right-Angle, Bottom Contact, 1.90mm Height, 10 Circuits, Gold over Nickel Plating" 
A1          "FANT 2.4GHz"               TopLayer    FANT_2P4                          681.500       3845.000      0        "Inverted F antenna"                                                                                                                      
R30         "5.1K 1%"                   TopLayer    RES_0603                          112.000       387.000       90       "SMD Chip Resistor, 5.1KOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                                               
R29         "5.1K 1%"                   TopLayer    RES_0603                          771.000       513.000       270      "SMD Chip Resistor, 5.1KOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                                               
R13         "5.1K 1%"                   TopLayer    RES_0603                          1561.000      538.000       270      "SMD Chip Resistor, 5.1KOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"                                               
C25         0.1uF                       TopLayer    CAPC1608X90                       390.000       1424.000      180      "0.1 ÂµF Â±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"                                                                              
R28         "0E Ohm 1%"                 TopLayer    0402_Passive_Resistor             645.000       3351.000      90       "CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/16W 0402 ROHS"                                                                                 
L3          2.1nH                       TopLayer    0402_Inductor                     645.000       3162.000      90       "Inductor Package 0603"                                                                                                                   
C12         1.9pF                       TopLayer    0402_Passive_Capacitor            664.000       3060.000      0        "MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 25V 0402 ROHS"                                                                          
